id,title,channelTitle,views,likes,duration,datetime
https://www.youtube.com/watch?v=oA8brF3w5XQ,Python Flask Web Development Tutorial in Hindi,CodeWithHarry,528938,13460,1H47M14S,2021-03-10
https://www.youtube.com/watch?v=Z1RJmh_OqeA,Learn Flask for Python - Full Tutorial,freeCodeCamp.org,1373086,22268,46M59S,2019-05-28
https://www.youtube.com/watch?v=yBDHkveJUf4,Web Development with Python Tutorial – Flask &amp; Dynamic Database-Driven Web Apps,freeCodeCamp.org,96064,2672,4H38M4S,2023-02-16
https://www.youtube.com/watch?v=lj4I_CvBnt0,Python Flask Tutorial For Beginners | Flask Web Development Tutorial | Python Training | Edureka,edureka!,209654,2585,35M50S,2018-12-18
https://www.youtube.com/watch?v=Qr4QMBUPxWo,Flask Course - Python Web Application Development,freeCodeCamp.org,776903,13107,6H21M4S,2021-03-10
https://www.youtube.com/watch?v=dam0GPOAvVI,"Python Website Full Tutorial - Flask, Authentication, Databases &amp; More",Tech With Tim,1967553,42952,2H16M40S,2021-02-01
https://www.youtube.com/watch?v=5aYpkLfkgRE,build a meme Python website (Flask Tutorial for Beginners),NetworkChuck,275891,10011,13M30S,2022-08-29
https://www.youtube.com/watch?v=0HXg9_r_7MM,Flask in 6 Minutes 🔥,CodeWithHarry,59813,2533,6M35S,2022-03-02
https://www.youtube.com/watch?v=oQWkuJhSMCQ,Flask Full Course in 1Hour in  Telugu,Python Life,22879,441,1H26M32S,2021-08-01
https://www.youtube.com/watch?v=4L_xAWDRs7w,Introduction To Flask Web Framework,Krish Naik,84146,1527,10M21S,2021-06-09
https://www.youtube.com/watch?v=kng-mJJby8g,Make A Python Website As Fast As Possible!,Tech With Tim,412520,10005,22M21S,2021-09-13
